text,intent,entity,split
Where is the main library?,find_location,main library,train
How do I get to the library?,find_location,library,train
Can you tell me where the library is?,find_location,library,train
I need to find the library,find_location,library,test
Where can I find the main library on campus?,find_location,library,train
Where is the student union?,find_location,student union,test
How do I get to the student union building?,find_location,student union,train
I'm looking for the student union,find_location,student union,val
Where is the student union located?,find_location,student union,train
Can you direct me to the union building?,find_location,union building,train
Where is the sports centre?,find_location,sports centre,train
How do I find the gym on campus?,find_location,gym,train
Where is the campus gym?,find_location,gym,train
I need directions to the sports centre,find_location,sports centre,train
Where can I find the fitness centre?,find_location,fitness centre,train
Where is the cafeteria?,find_location,cafeteria,train
How do I get to the canteen?,find_location,canteen,test
Where can I eat on campus?,find_location,cafeteria,train
I'm hungry — where's the food hall?,find_location,cafeteria,train
Where is the main dining area?,find_location,cafeteria,train
Where is the medical centre?,find_location,medical centre,test
How do I find the campus doctor?,find_location,medical centre,val
Where is the career services office?,find_location,career services,train
Can you tell me where career services is?,find_location,career services,val
I'm looking for the international student office,find_location,international student office,train
Where is the innovation lab?,find_location,innovation lab,train
How do I get to the tech hub?,find_location,tech hub,test
Where is the wellbeing hub?,find_location,wellbeing hub,test
Can you show me where the medical centre is?,find_location,medical centre,train
Where are the careers offices?,find_location,career services,test
What time does the library open?,ask_hours,library,train
When does the library close?,ask_hours,library,test
What are the library opening hours?,ask_hours,library,test
Is the library open on Sundays?,ask_hours,library,train
What time does the library close on weekends?,ask_hours,library,train
What are the gym opening hours?,ask_hours,gym,train
Is the sports centre open on Sundays?,ask_hours,sports centre,train
When does the gym close?,ask_hours,gym,train
What time does the sports centre open?,ask_hours,sports centre,train
Is the gym open on bank holidays?,ask_hours,gym,train
What time does the cafeteria close?,ask_hours,cafeteria,train
Is the canteen open on Sundays?,ask_hours,cafeteria,train
What are the cafeteria's opening hours?,ask_hours,cafeteria,train
When does the food hall open?,ask_hours,cafeteria,train
Is the cafeteria open on Saturdays?,ask_hours,cafeteria,val
When is the student union open?,ask_hours,student union,train
What are the union building opening hours?,ask_hours,student union,train
Is the student union open at night?,ask_hours,student union,train
What time does the medical centre close?,ask_hours,medical centre,train
Is the campus doctor open on weekends?,ask_hours,medical centre,train
What are the career office hours?,ask_hours,career services,test
When does the international office open?,ask_hours,international student office,val
What time does the innovation lab close?,ask_hours,innovation lab,train
Is the wellbeing hub open on Saturdays?,ask_hours,wellbeing hub,val
What are the library hours on Saturday?,ask_hours,library,train
Is the gym open early in the morning?,ask_hours,gym,train
What is on at the freshers fair?,find_event,freshers fair,train
Tell me about the freshers welcome fair,find_event,freshers fair,train
When is the freshers fair?,find_event,freshers fair,test
Is there a welcome event for new students?,find_event,welcome event,train
What events are on this week?,find_event,events,train
Are there any upcoming events on campus?,find_event,events,train
What campus events are happening?,find_event,events,train
Tell me about the AI lecture,find_event,ai lecture,train
When is the AI talk?,find_event,ai talk,val
Is there an event about artificial intelligence?,find_event,ai event,train
What is the postgraduate research showcase?,find_event,postgraduate research showcase,train
When is the research showcase?,find_event,research showcase,val
Tell me about upcoming research events,find_event,research events,train
Is there a food festival on campus?,find_event,food festival,train
When is the international food festival?,find_event,international food festival,test
Are there social events for international students?,find_event,international events,train
What networking events are available?,find_event,networking events,train
Is there a careers fair?,find_event,careers fair,train
Tell me about events at the student union,find_event,student union events,train
What is happening on campus this month?,find_event,events,train
Are there any talks or lectures coming up?,find_event,lectures,train
Is there an event for postgraduate students?,find_event,postgraduate events,train
What entertainment events are on campus?,find_event,entertainment events,train
Tell me about the food festival,find_event,food festival,test
Is there a lecture about machine learning?,find_event,machine learning lecture,train
What are the events near the cafeteria?,find_event,cafeteria events,train
Where is the computer science department?,find_department,computer science,train
How do I find the CS department?,find_department,computer science,train
Where is the computing faculty?,find_department,computing,train
I'm looking for the AI department,find_department,ai department,train
Where can I find my computer science lecturer?,find_department,computer science,test
Where is the business school?,find_department,business school,train
How do I get to the business faculty?,find_department,business,test
I'm looking for the MBA office,find_department,mba,val
Where is the management department?,find_department,management,val
Can you direct me to the business department?,find_department,business,train
Where is the psychology department?,find_department,psychology,train
How do I find the psychology faculty?,find_department,psychology,test
I'm looking for the counselling department,find_department,counselling,train
Where are the psychology offices?,find_department,psychology,train
Where is the engineering faculty?,find_department,engineering,train
How do I get to the engineering building?,find_department,engineering,train
Where is the mechanical engineering department?,find_department,mechanical engineering,train
Where is the robotics lab?,find_department,robotics lab,train
I need to speak to my engineering lecturer,find_department,engineering,train
How do I contact the computer science department?,find_department,computer science,train
What floor is the business school on?,find_department,business school,train
Where are the postgraduate offices?,find_department,postgraduate offices,test
I need to find my faculty office,find_department,faculty office,test
Can I speak to someone in the psychology department?,find_department,psychology,test
Where is the data science programme based?,find_department,data science,train
Where can I find a quiet place to study?,find_study_area,quiet study area,test
I need a place to study on my own,find_study_area,individual study,train
Where are the quiet study rooms?,find_study_area,quiet study room,val
Is there a silent study area?,find_study_area,silent study,train
Where can I revise for exams?,find_study_area,revision area,train
Is there a 24-hour study room?,find_study_area,24 hour study,train
Where can I study late at night?,find_study_area,late night study,train
Are there any study rooms open overnight?,find_study_area,overnight study,train
